Serial No.,Age,Serial No.,Age,Serial No.,Age,Serial No.,Age
102,49,52,66,171,63,259,70
52,66,1JO,47,54,69,326,44
36,56,211,59,619,46,627,54
447,47,512,60,380,33,280,32
351,71,43,51,210,57,89,50
161,58,14,67,7,67,130,68
7,67,215,61,123,28,431,74
85,74,16,72,54,69,320,60
